Symbol,% Weight,Shares
NVDA,18.45%,48347408
TSM,11.41%,15036699
AVGO,7.96%,10808278
INTC,5.40%,42177264
LRCX,4.97%,9246000
KLAC,4.95%,1381346
ASML,4.88%,1621525
AMD,4.85%,9879774
AMAT,4.76%,5764315
MU,4.70%,5370317
ADI,4.62%,6339451
TXN,4.54%,10186108
QCOM,3.61%,13626029
MRVL,2.54%,10202349
SNPS,2.28%,2707310
CDNS,2.19%,3757958
TER,1.55%,2045989
MPWR,1.34%,483522
NXPI,1.15%,2701900
MCHP,0.98%,6634130
STM,0.90%,11135926
ARM,0.67%,2169968
ON,0.59%,4146237
ALAB,0.47%,1738985
SWKS,0.20%,1684458
